experiment_id,status,purpose,strategy,cumulative_return,sharpe,max_drawdown,delta_return_vs_baseline,delta_sharpe_vs_baseline,change_note,known_limitations,test_period,ppo_model_path,output_dir,manifest_path,run_id,created_at,control_experiment,baseline_strategy,annualized_return,annualized_volatility,trades,turnover,annualized_turnover,total_commission,universe,selection,position_weights,cost_model,code_revision,git_dirty,git_diff_name_status,ppo_model_sha256,ppo_device,seed,market_data_sha256,news_data_sha256
baseline_20260902,historical_incomplete,历史回填：LLM 与 VADER 公式暴露基线,Buy & Hold,0.32049999999999995,1.99,0.1058,0.22049999999999995,1.12,历史运行未记录改动说明,缺少 manifest、数据指纹和运行时 Git 状态,2025-08-11~2026-08-09,,output/backtest_20260902_134250,historical_missing_manifest,20260902_134250,2026-09-02T13:42:50,,LLM Top-K,0.2894,0.12560000000000002,0.0,0.0,0.0,0.0,"""historical_unknown""",LLM Top-K=5,inverse volatility,"""historical_unknown""",unknown,historical_unknown,historical_unknown,historical_unknown,,historical_unknown,historical_unknown,historical_unknown
baseline_20260902,historical_incomplete,历史回填：LLM 与 VADER 公式暴露基线,LLM Top-K,0.1,0.87,0.0591,0.0,0.0,历史运行未记录改动说明,缺少 manifest、数据指纹和运行时 Git 状态,2025-08-11~2026-08-09,,output/backtest_20260902_134250,historical_missing_manifest,20260902_134250,2026-09-02T13:42:50,,LLM Top-K,0.09880000000000001,0.0679,132.0,14.41,14.53,270.0,"""historical_unknown""",LLM Top-K=5,inverse volatility,"""historical_unknown""",unknown,historical_unknown,historical_unknown,historical_unknown,,historical_unknown,historical_unknown,historical_unknown
baseline_20260902,historical_incomplete,历史回填：LLM 与 VADER 公式暴露基线,VADER Top-K,0.1204,1.22,0.0455,0.020399999999999988,0.35,历史运行未记录改动说明,缺少 manifest、数据指纹和运行时 Git 状态,2025-08-11~2026-08-09,,output/backtest_20260902_134250,historical_missing_manifest,20260902_134250,2026-09-02T13:42:50,,LLM Top-K,0.11699999999999999,0.06309999999999999,134.0,4.14,4.17,259.0,"""historical_unknown""",LLM Top-K=5,inverse volatility,"""historical_unknown""",unknown,historical_unknown,historical_unknown,historical_unknown,,historical_unknown,historical_unknown,historical_unknown
ppo_dailyfreq_20260913,retired,诊断旧日频 PPO 迁移表现,Buy & Hold,0.32049999999999995,1.99,0.1058,0.22049999999999995,1.12,接入旧日频 PPO,训练环境与真实回测口径不一致,2025-08-11~2026-08-09,models/ppo_stage1_dailyfreq.zip,output/backtest_20260913_195527,output/backtest_20260913_195527/manifest.json,20260913_195527,unknown,llm_formula_20260902,LLM Top-K,0.2894,0.12560000000000002,0.0,0.0,0.0,0.0,"""10 只大盘龙头""",LLM Top-K=5,inverse volatility,"""回测实际手续费与滑点""",worktree based on 7ff7c02; PPO implementation was uncommitted at run time,historical_unknown,historical_unknown,historical_unknown,,historical_unknown,historical_unknown,historical_unknown
ppo_dailyfreq_20260913,retired,诊断旧日频 PPO 迁移表现,LLM Top-K,0.1,0.87,0.059000000000000004,0.0,0.0,接入旧日频 PPO,训练环境与真实回测口径不一致,2025-08-11~2026-08-09,models/ppo_stage1_dailyfreq.zip,output/backtest_20260913_195527,output/backtest_20260913_195527/manifest.json,20260913_195527,unknown,llm_formula_20260902,LLM Top-K,0.09880000000000001,0.0678,132.0,14.4,14.52,271.0,"""10 只大盘龙头""",LLM Top-K=5,inverse volatility,"""回测实际手续费与滑点""",worktree based on 7ff7c02; PPO implementation was uncommitted at run time,historical_unknown,historical_unknown,historical_unknown,,historical_unknown,historical_unknown,historical_unknown
ppo_dailyfreq_20260913,retired,诊断旧日频 PPO 迁移表现,PPO Top-K,0.0809,0.5,0.06709999999999999,-0.019100000000000006,-0.37,接入旧日频 PPO,训练环境与真实回测口径不一致,2025-08-11~2026-08-09,models/ppo_stage1_dailyfreq.zip,output/backtest_20260913_195527,output/backtest_20260913_195527/manifest.json,20260913_195527,unknown,llm_formula_20260902,LLM Top-K,0.0823,0.0851,55.0,14.92,15.04,115.0,"""10 只大盘龙头""",LLM Top-K=5,inverse volatility,"""回测实际手续费与滑点""",worktree based on 7ff7c02; PPO implementation was uncommitted at run time,historical_unknown,historical_unknown,historical_unknown,,historical_unknown,historical_unknown,historical_unknown
ppo_dailyfreq_20260913,retired,诊断旧日频 PPO 迁移表现,VADER Top-K,0.1204,1.22,0.0453,0.020399999999999988,0.35,接入旧日频 PPO,训练环境与真实回测口径不一致,2025-08-11~2026-08-09,models/ppo_stage1_dailyfreq.zip,output/backtest_20260913_195527,output/backtest_20260913_195527/manifest.json,20260913_195527,unknown,llm_formula_20260902,LLM Top-K,0.11699999999999999,0.06309999999999999,134.0,4.14,4.17,260.0,"""10 只大盘龙头""",LLM Top-K=5,inverse volatility,"""回测实际手续费与滑点""",worktree based on 7ff7c02; PPO implementation was uncommitted at run time,historical_unknown,historical_unknown,historical_unknown,,historical_unknown,historical_unknown,historical_unknown
ppo_weekly_aligned_20260913,provisional,验证周频逆波动率 PPO 的迁移表现,Buy & Hold,0.32049999999999995,1.99,0.1058,0.22049999999999995,1.12,日频改为周频并对齐权重,单种子、单样本外窗口，尚未完成 Gate 验收,2025-08-11~2026-08-09,models/ppo_stage1.zip,output/backtest_20260913_224902,output/backtest_20260913_224902/manifest.json,20260913_224902,unknown,llm_formula_20260902,LLM Top-K,0.2894,0.12560000000000002,0.0,0.0,0.0,0.0,"""10 只大盘龙头""",LLM Top-K=5,inverse volatility,"""回测实际手续费与滑点""",worktree based on 7ff7c02; PPO implementation was uncommitted at run time,historical_unknown,historical_unknown,historical_unknown,,historical_unknown,historical_unknown,historical_unknown
ppo_weekly_aligned_20260913,provisional,验证周频逆波动率 PPO 的迁移表现,LLM Top-K,0.1,0.87,0.059000000000000004,0.0,0.0,日频改为周频并对齐权重,单种子、单样本外窗口，尚未完成 Gate 验收,2025-08-11~2026-08-09,models/ppo_stage1.zip,output/backtest_20260913_224902,output/backtest_20260913_224902/manifest.json,20260913_224902,unknown,llm_formula_20260902,LLM Top-K,0.09880000000000001,0.0678,132.0,14.4,14.52,271.0,"""10 只大盘龙头""",LLM Top-K=5,inverse volatility,"""回测实际手续费与滑点""",worktree based on 7ff7c02; PPO implementation was uncommitted at run time,historical_unknown,historical_unknown,historical_unknown,,historical_unknown,historical_unknown,historical_unknown
ppo_weekly_aligned_20260913,provisional,验证周频逆波动率 PPO 的迁移表现,PPO Top-K,0.1125,0.87,0.0546,0.012499999999999997,0.0,日频改为周频并对齐权重,单种子、单样本外窗口，尚未完成 Gate 验收,2025-08-11~2026-08-09,models/ppo_stage1.zip,output/backtest_20260913_224902,output/backtest_20260913_224902/manifest.json,20260913_224902,unknown,llm_formula_20260902,LLM Top-K,0.11130000000000001,0.0819,60.0,12.0,12.1,131.0,"""10 只大盘龙头""",LLM Top-K=5,inverse volatility,"""回测实际手续费与滑点""",worktree based on 7ff7c02; PPO implementation was uncommitted at run time,historical_unknown,historical_unknown,historical_unknown,,historical_unknown,historical_unknown,historical_unknown
